Date;Code;Quantity
12/09/2023;7216;50
12/09/2023;7218;30
07/08/2023;7225;50
21/06/2023;7197;30
21/06/2023;7201;10
21/06/2023;7234;10
21/06/2023;7225;50
21/06/2023;7216;50
21/06/2023;7211;50
19/06/2023;7197;30
19/06/2023;7218;20
19/06/2023;7219;50
19/06/2023;7229;20
12/04/2023;7234;50
12/04/2023;7201;20
12/04/2023;7244;30
12/04/2023;7219;40
12/04/2023;7218;20
12/04/2023;7229;40
23/11/2023;7209;10
23/11/2023;7197;10
23/11/2023;7201;50
23/11/2023;7234;50
23/11/2023;7244;40
23/11/2023;7218;10
23/11/2023;7219;30
